TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,SALES
5628,12/08/18 13.11,329,Nasi Goreng Jawa,32000
5628,12/08/18 13.11,395,Rawon,34000
5628,12/08/18 13.11,281,Teh Tubruk,12000
5628,12/08/18 13.11,281,Teh Tubruk,12000
5629,12/08/18 14.40,306,Mineral Water,8000
5629,12/08/18 14.40,231,Nasi Goreng Jawa,34000
5630,12/08/18 14.07,231,Nasi Goreng Jawa,34000
5631,12/08/18 15.24,358,Teh Tarik,20000
5632,12/08/18 16.15,264,Latte,34000
5632,12/08/18 16.15,254,Pisang Goreng,28000
5632,12/08/18 16.15,281,Teh Tubruk,12000
5633,12/08/18 17.22,228,Bakmi Godog Keju,30000
5634,12/08/18 21.19,421,Milo Dinosaur,30000
5635,12/09/18 10.43,228,Bakmi Godog Keju,30000
5635,12/09/18 10.43,263,Cappuccino,34000
5635,12/09/18 10.43,334,Extra Kerupuk Putih,6000
5635,12/09/18 10.43,276,Kopi Tubruk,18000
5635,12/09/18 10.43,342,Nasi Goreng Jawa,32000
5635,12/09/18 10.43,293,Teh Tarik,39000
5636,12/09/18 12.46,228,Bakmi Godog Keju,30000
5636,12/09/18 12.46,229,Bakmi Goreng Jawa,35000
5636,12/09/18 12.46,334,Extra Kerupuk Putih,6000
5636,12/09/18 12.46,306,Mineral Water,8000
5636,12/09/18 12.46,236,Nasi Putih,7000
5636,12/09/18 12.46,358,Teh Tarik,20000
5637,12/09/18 13.08,231,Nasi Goreng Jawa,34000
5637,12/09/18 13.08,250,Pisang Goreng,29000
5638,12/09/18 13.11,235,Nasi Putih,7040
5638,12/09/18 13.11,235,Nasi Putih,7041
5638,12/09/18 13.11,331,Soto Ayam,20000
5638,12/09/18 13.11,331,Soto Ayam,20000
5638,12/09/18 13.11,235,Soto Ayam,35000
5638,12/09/18 13.11,235,Soto Ayam,35000
5638,12/09/18 13.11,281,Teh Tubruk,12000
5638,12/09/18 13.11,281,Teh Tubruk,12000
5638,12/09/18 13.11,281,Teh Tubruk,12000
5638,12/09/18 13.11,281,Teh Tubruk,12000
5639,12/09/18 15.44,228,Bakmi Godog Keju,30000
5639,12/09/18 15.44,232,Bakmi Goreng Jawa,38000
5639,12/09/18 15.44,232,Bakmi Goreng Jawa,38000
5639,12/09/18 15.44,252,French Fries,30000
5639,12/09/18 15.44,293,Teh Tarik,39000
5639,12/09/18 15.44,293,Teh Tarik,39000
5639,12/09/18 15.44,281,Teh Tubruk,12000
5639,12/09/18 15.44,281,Teh Tubruk,12000
5640,12/09/18 15.03,254,Pisang Goreng,28000
5640,12/09/18 15.03,255,Pisang Goreng,24000
5640,12/09/18 15.03,281,Teh Tubruk,12000
5640,12/09/18 15.03,281,Teh Tubruk,12000
5641,12/10/18 10.51,334,Extra Kerupuk Putih,6000
5641,12/10/18 10.51,276,Kopi Tubruk,18000
5641,12/10/18 10.51,342,Nasi Goreng Jawa,32000
5641,12/10/18 10.51,231,Nasi Goreng Jawa,34000
5641,12/10/18 10.51,257,Rawon,27000
5641,12/10/18 10.51,217,Roti Bakar,22000
5641,12/10/18 10.51,358,Teh Tarik,20000
5641,12/10/18 10.51,281,Teh Tubruk,12000
5641,12/10/18 10.51,281,Teh Tubruk,12000
5641,12/10/18 10.51,281,Teh Tubruk,12000
5641,12/10/18 10.51,281,Teh Tubruk,12000
5642,12/10/18 13.04,276,Kopi Tubruk,18000
5642,12/10/18 13.04,267,Macchiato,33000
5642,12/10/18 13.04,255,Pisang Goreng,24000
5642,12/10/18 13.04,404,Pisang Goreng,30000
5642,12/10/18 13.04,279,Teh Tarik,27000
5642,12/10/18 13.04,281,Teh Tubruk,12000
5643,12/10/18 14.35,228,Bakmi Godog Keju,30000
5643,12/10/18 14.35,228,Bakmi Godog Keju,30000
5643,12/10/18 14.35,334,Extra Kerupuk Putih,6000
5643,12/10/18 14.35,334,Extra Kerupuk Putih,6000
5643,12/10/18 14.35,334,Extra Kerupuk Putih,6000
5643,12/10/18 14.35,334,Extra Kerupuk Putih,6000
